	sp1	sp2	sp3	sp4	sp5	sp6	sp7	sp8	sp9	sp10	sp11	sp12	sp13	sp14	sp15	sp16
borda1	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
borda2	0	40	0	0	3	5	0	0	0	0	0	0	0	0	0	0
borda3	2	0	51	0	32	0	0	0	0	0	0	0	0	0	0	0
borda4	0	0	2	0	0	0	4	0	0	0	0	0	0	0	0	0
borda5	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
borda6	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
borda7	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
borda8	3	0	324	0	0	5	0	0	0	0	0	0	0	0	0	0
borda9	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0
borda10	0	2	0	0	5	0	0	0	0	0	0	0	0	0	0	0
borda11	0	1	0	0	55	0	0	0	0	0	0	0	0	0	0	0
borda12	0	23	0	5	5	0	3	0	0	0	0	0	0	0	0	0
borda13	0	3	0	5	0	0	0	0	0	0	0	0	0	0	0	0
borda14	0	4	5	5	0	0	4	0	0	0	0	0	0	0	0	0
borda15	0	0	5	0	3	3	0	0	0	0	0	0	0	0	0	0
borda16	234	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0
borda17	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0
borda18	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0
borda19	0	12	34	0	0	0	0	0	0	0	0	0	0	0	0	0
borda20	13	0	3	2	0	0	0	0	0	0	0	0	0	0	0	0
interior1	0	0	0	0	0	0	0	23	0	2	0	0	0	0	0	0
interior2	0	0	0	0	0	0	0	0	0	0	0	0	53	3	12	3
interior3	0	0	0	0	0	0	0	0	0	0	2	0	3	0	0	0
interior4	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
interior5	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0
interior6	0	0	0	0	0	0	0	0	0	0	0	0	0	34	0	0
interior7	0	0	0	0	0	0	0	34	0	0	3	0	0	0	4	0
interior8	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0	5
interior9	0	0	0	0	0	0	0	0	3	0	0	0	4	0	0	0
interior10	0	0	0	0	0	0	0	0	0	3	23	4	0	5	54	0
