Nfolhas	Length	Galhas	Minas	AF	AFT	GalhasArea	MinasArea
13	16.5	2	0	109.2515	1420.2695	0.001408183	0
22	12.3	2	0	59.6033	1311.2726	0.001525236	0
26	15.3	9	1	95.0663	2471.7238	0.003641184	0.000404576
12	26.7	3	0	229.8257	2757.9084	0.001087781	0
12	22.2	70	6	176.6312	2119.5744	0.033025498	0.002830757
56	17.1	1	0	116.3441	6515.2696	0.000153486	0
57	20	71	3	150.625	8585.625	0.008269637	0.000349421
13	23	0	0	186.088	2419.144	0	0
81	18.1	103	4	128.1651	10381.3731	0.009921616	0.000385305
19	17.2	1	3	117.5262	2232.9978	0.000447828	0.001343485
50	16	3	0	106.06	5303	0.000565718	0
17	23	0	3	180.183	3063.111	0	0.000979396
27	22	11	0	169.594	4579.038	0.002402251	0
172	15.8	0	4	103.9422	17878.0584	0	0.000223738
223	27.5	7	6	227.8335	50806.8705	0.000137777	0.000118094
11	20.5	0	1	153.7105	1690.8155	0	0.000591431
19	16.4	0	1	110.2956	2095.6164	0	0.000477187
35	17.2	1	4	118.7668	4156.838	0.000240567	0.00096227
38	20.5	0	2	153.7105	5840.999	0	0.000342407
77	16.8	0	1	114.5312	8818.9024	0	0.000113393
