	WaterContent	BareSand	CoverMoss	LightReflection	FallenTwigs	CoverHerbs
ua1	9	0	1	1	9	5
ua2	7	0	3	0	9	2
ua3	8	0	1	0	9	0
ua4	8	0	1	0	9	0
ua5	9	0	1	2	9	5
ua6	8	0	0	2	9	5
ua7	8	0	2	3	3	9
ua8	6	0	2	1	9	6
ua9	7	0	1	0	9	2
ua10	8	0	0	5	0	9
ua11	9	5	5	1	7	6
ua12	8	0	4	2	0	9
ua13	6	0	5	6	0	9
ua14	8	0	1	5	0	9
ua15	9	3	1	7	3	9
ua16	6	0	5	8	0	9
ua17	5	0	7	8	0	9
ua18	5	0	9	7	0	6
ua19	5	0	8	8	0	8
ua20	3	7	2	5	0	8
ua21	4	0	9	8	0	7
ua22	4	8	7	8	0	5
ua23	0	7	8	8	0	6
ua24	0	6	9	9	0	6
ua25	1	7	9	8	0	0
ua26	0	5	8	8	0	6
ua27	2	7	9	9	0	5
ua28	0	9	4	9	0	2
