	Aranae	Acrididae	Tettigonidae	Mantidae	Cicadellidae	Cercopidae	Aphididae	Membracidae	Delphacidae	Psylidae	Dictyopharidae	Fulgoridae	Bruchidae	Mordelidae	Tenebrionidae	Coccinelidae	Elateridae	Nitidulidae	Chrysomelidae	Scarabeidae	Carabidae	Escolitidae	Lyctidae	Dermastidae	Anobiidae	Curculionidae	Muscidae	Culicidae	Estratiomiidae	Tephritidae	Scatopsidae	Ephidridae	Drosophilidae	Syrphidae	Chamaemyiidae	Tachinidae	Dolichopodidae	Bibionidae	Sciomyzidae	Asilidae	Sciaridae	Pentatomidae	Reduviidae	Neididae	Pyrrhocoridae	Tingidae	Cydnidae	Corimelaenidae	Lygaidae	Mesoveliidae	Myridae	Coriscidae	Coreidae	Corizidae	Nabidae	Vespidae	Apidae	Epelmidae	Cynipidae	Chalcididae	Encyrtidae	Chrysididae	Eulophidae	Halictidae	Tiphiidae	Pteromalidae	Icneumonidae	Formicidae	Pulmonata	Pieridae	Piralidae	Phloethripidae	Thripidae	Acarina
M1	37	37	3	0	38	6	0	3	0	0	3	6	82	0	1	2	1	0	1	0	0	0	0	0	0	7	15	6	0	0	0	30	81	0	1	1	2	0	0	2	2	0	5	0	2	4	0	0	3	0	10	0	2	2	0	8	12	0	1	0	0	26	0	2	1	1	0	29	0	0	4	1	0	0
M2	31	17	0	0	14	3	0	6	0	0	2	4	23	0	1	2	0	0	30	2	1	0	0	0	0	7	13	0	0	3	0	8	8	1	0	0	0	0	0	0	1	1	7	1	0	3	0	3	3	0	0	1	1	0	1	3	1	3	0	0	0	3	0	0	0	3	2	8	0	0	1	0	0	0
M3	35	43	2	0	83	13	6	7	3	0	2	1	61	0	0	1	0	3	1	0	0	2	0	0	1	0	7	31	0	4	2	31	143	0	3	0	20	0	0	1	18	3	4	0	0	0	0	0	1	1	3	0	0	1	1	3	1	1	4	0	0	0	2	0	0	5	0	46	0	0	2	1	2	1
M4	28	24	0	0	100	9	0	0	1	2	0	2	13	0	1	3	0	0	5	0	1	0	0	0	1	2	29	10	1	1	0	25	42	3	24	1	4	0	0	5	3	6	0	0	0	3	1	0	4	0	0	0	1	0	1	3	1	0	0	1	1	1	0	0	0	0	0	16	0	1	5	0	1	0
M5	26	15	0	0	165	37	0	0	22	0	0	2	5	0	0	2	0	0	2	0	3	0	1	4	1	4	4	5	0	2	0	27	73	2	6	3	5	5	1	0	5	0	2	2	1	2	0	0	4	0	1	0	2	0	0	2	1	0	0	0	0	1	0	0	0	3	0	33	0	0	0	0	1	0
P1	39	6	0	1	16	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	3	0	0	0	0	0	1	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0
P2	34	4	0	1	12	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0
P3	35	6	1	0	18	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	1	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0
P4	29	8	0	1	15	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
P5	66	11	2	2	19	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	11	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0
