	FAM	ESP	TAM
1	RA	1	58
2	RA	2	55
3	RA	3	50
4	RA	4	45
5	RA	5	NA
6	RA	6	33
7	RA	7	NA
8	RA	8	34
9	RA	9	32
10	RA	10	33
11	RA	11	35
12	RA	12	37
13	RA	13	35
14	RA	14	37
15	RA	15	36
16	RA	16	41
17	RA	17	NA
18	RA	18	45
19	RA	19	45
20	RA	20	45
21	RA	21	44
22	PI	1	14
23	PI	2	13
24	PI	3	9
25	PI	4	13
26	PI	5	13
27	PI	6	8
28	PI	7	7
29	PI	8	13
30	PI	9	12
31	PI	10	11
32	PI	11	9
33	PI	12	9
34	PI	13	9
35	PI	14	9
36	PI	15	9
37	PI	16	8
38	PI	17	8
39	PI	18	9
40	PI	19	9
41	PI	20	9
42	PI	21	10
43	PI	22	15
44	PI	23	14
45	PI	24	12
46	PI	25	15
47	PI	26	14
48	PI	27	13
49	PI	28	14
50	PI	29	15
51	PI	30	15
52	PI	31	10
53	PI	32	11
54	PI	33	13
55	PI	34	13
56	PI	35	12
57	PI	36	8
58	PI	37	10
59	PI	38	11
60	TY	1	NA
61	TY	2	13
62	TY	3	13
63	TY	4	13
64	TY	5	13
65	TY	6	13
66	TY	7	14
67	TY	8	10
68	TY	9	10
69	TY	10	10
70	TY	11	9
71	TY	12	9
72	TY	13	12
73	TY	14	11
74	TY	15	12
75	TY	16	11
76	TY	17	12
77	TY	18	10
78	TY	19	12
79	TY	20	12
80	TY	21	11
81	TY	22	12
82	TY	23	10
83	TY	24	9
84	TY	25	11
85	TY	26	9
86	TY	27	9
87	TY	28	11
88	TY	29	8
89	TY	30	7
90	TY	31	10
91	TY	32	10
92	TY	33	9
93	TY	34	10
94	TY	35	9
95	TY	36	9
96	TY	37	10
97	TY	38	10
98	TY	39	12
99	TY	40	8
100	TY	41	9
101	TY	42	9
102	TY	43	9
103	TY	44	9
104	TY	45	12
105	TY	46	12
106	TY	47	10
107	TY	48	11
108	TY	49	10
109	TY	50	10
110	TY	51	11
111	TY	52	12
112	TY	53	10
113	TY	54	13
114	TY	55	12
115	TY	56	16
116	TY	57	18
117	TY	58	17
118	TY	59	NA
119	TY	60	13
120	TY	61	14
121	TY	62	19
122	TY	63	14
123	TY	64	11
124	TY	65	13
125	TY	66	18
126	TY	67	20
127	TY	68	NA
128	TY	69	8
129	TY	70	9
130	TY	71	20
131	TY	72	16
132	TY	73	13
133	TY	74	11
134	TY	75	11
135	TY	76	11
136	TY	77	NA
137	TY	78	12
138	TY	79	12
139	TY	80	12
140	TY	81	9
141	TY	82	9
142	TY	83	10
143	TY	84	10
144	TY	85	10
145	TY	86	11
146	TY	87	NA
147	TY	88	11
148	TY	89	13
149	TY	90	13
150	TY	91	11
151	TY	92	12
152	TY	93	12
153	TY	94	12
154	TY	95	13
155	TY	96	12
156	TY	97	13
157	TY	98	13
158	TY	99	NA
159	TY	100	12
160	TY	101	10
161	TY	102	13
162	TY	103	11
163	TY	104	11
164	TY	105	14
165	TY	106	13
166	TY	107	10
167	TY	108	12
168	TY	109	12
169	TY	110	12
170	TY	111	10
171	TY	112	16
172	TY	113	NA
173	TY	114	15
174	TY	115	14
175	TY	116	13
176	TY	117	12
177	TY	118	12
178	TY	119	9
179	TY	120	10
180	TY	121	9
181	TY	122	11
182	TY	123	13
183	TY	124	15
184	TY	125	17
185	TY	126	14
186	TY	127	13
187	TY	128	13
188	TY	129	13
189	TY	130	9
190	TY	131	9
191	TY	132	17
192	TY	133	13
193	TY	134	14
194	TY	135	15
195	TY	136	15
196	TY	137	24
197	TY	138	16
198	TY	139	14
199	TY	140	15
200	TY	141	13
201	TY	142	14
202	TY	143	11
203	TY	144	15
204	TY	145	13
205	TY	146	16
206	TY	147	12
207	TY	148	14
208	TY	149	14
209	TY	150	14
210	TY	151	16
211	TY	152	16
212	TY	153	21
213	TY	154	18
214	TY	155	15
215	TY	156	13
216	TY	157	15
217	TY	158	13
218	TY	159	23
219	TY	160	22
220	TY	161	19
221	TY	162	17
222	TY	163	20
223	TY	164	22
224	TY	165	42
225	TY	166	22
226	TY	167	13
227	TY	168	14
228	TY	169	15
229	TY	170	12
230	TY	171	12
231	TY	172	20
232	TY	173	25
233	TY	174	19
234	TY	175	15
235	TY	176	18
236	TY	177	18
237	TY	178	18
238	TY	179	14
239	TY	180	22
240	TY	181	17
241	TY	182	14
242	TY	183	17
243	TY	184	18
244	TY	185	21
245	TY	186	23
246	TY	187	20
247	TY	188	19
248	TY	189	18
249	TY	190	20
250	TY	191	22
251	TY	192	35
252	TY	193	19
253	TY	194	25
254	TY	195	20
255	TY	196	19
256	TY	197	19
257	TY	198	18
258	TY	199	18
259	TY	200	15
260	TY	201	18
261	TY	202	19
262	TY	203	19
263	TY	204	14
264	TY	205	16
265	TY	206	15
266	TY	207	17
267	TY	208	21
268	TY	209	18
269	TY	210	20
270	TY	211	20
271	TY	212	19
272	TU	1	21
273	TU	2	18
274	TU	3	18
275	TU	4	21
276	TU	5	22
277	TU	6	20
278	TU	7	25
279	TU	8	22
280	TU	9	22
281	TU	10	23
282	TU	11	24
283	TU	12	22
284	TU	13	15
285	TU	14	22
286	TU	15	24
287	TU	16	21
288	TU	17	22
