	Arctlute	Pardlugu	Zoraspin	Pardnigr	Pardpull	AuIoalbi	Trocterr	Alopcune	Pardmont	Alopacce	Alopfabr	Arctperi
ua1	0	2	1	0	0	0	5	0	0	0	0	0
ua2	0	3	1	1	0	0	4	1	0	0	0	0
ua3	0	3	1	0	0	0	4	1	0	0	0	0
ua4	0	2	2	1	0	0	5	1	0	0	0	0
ua5	0	1	1	0	0	0	4	0	0	0	0	0
ua6	0	2	0	0	0	0	5	1	0	0	0	0
ua7	0	1	3	3	6	5	8	1	1	0	0	0
ua8	0	7	1	1	1	2	5	3	1	0	0	0
ua9	0	4	1	0	1	0	4	1	1	0	0	0
ua10	1	1	4	9	8	3	9	4	1	1	0	0
ua11	2	0	5	5	4	2	7	2	3	0	0	0
ua12	1	1	5	3	8	2	9	1	3	0	0	0
ua13	1	1	5	5	9	4	9	2	2	1	0	0
ua14	3	1	4	9	9	4	9	2	5	1	0	0
ua15	1	1	4	7	8	4	9	6	4	1	1	0
ua16	1	1	1	4	6	3	8	4	5	3	1	0
ua17	0	0	2	3	6	2	7	3	7	5	0	0
ua18	0	0	0	1	1	0	1	1	5	1	0	0
ua19	0	0	0	1	2	0	3	3	9	4	0	0
ua20	0	1	2	2	0	1	4	1	3	3	3	0
ua21	0	0	0	0	1	1	2	1	9	3	1	0
ua22	0	0	0	0	0	0	1	0	4	1	1	0
ua23	0	0	0	0	0	0	1	0	2	3	3	1
ua24	0	1	0	0	0	0	1	0	2	4	3	2
ua25	0	0	0	0	0	0	1	0	1	2	4	1
ua26	0	0	0	0	0	0	0	0	1	5	3	2
ua27	0	0	0	0	0	0	0	0	1	3	4	2
ua28	0	0	0	0	0	0	1	0	0	1	2	4
