	ave1	ave2	ave3	ave4	ave5	ave6	ave7	ave8	ave9	ave10	ave11	ave12	ave13	ave14	ave15	ave16	ave17	ave18	ave19	ave20
1	10	3	0	19	22	0	19	45	0	45	13	23	0	31	0	0	19	22	34	12
2	9	3	0	12	11	0	23	3	0	3	12	1	0	0	12	0	0	4	45	121
3	12	2	0	11	19	0	23	2	0	23	1	13	0	2	10	0	1	5	45	1
4	23	1	1	31	3	0	2	11	0	3	28	12	0	1	31	0	11	2	4	1
5	31	2	3	1	2	0	3	29	0	34	23	2	0	28	23	0	5	1	44	2
6	13	3	0	0	2	0	3	3	0	34	31	10	0	10	28	0	2	0	3	2
7	1	39	0	23	4	0	44	5	0	3	9	31	0	12	1	0	4	11	3	1
8	2	7	0	2	5	0	5	12	0	5	2	0	0	13	13	0	2	3	3	2
9	0	12	0	3	1	0	1	1	0	6	0	28	0	9	9	0	22	19	3	1
10	28	0	0	4	0	0	4	9	0	7	10	9	0	23	2	2	3	2	1	2
11	0	0	2	5	0	0	0	0	3	0	0	0	4	0	0	10	0	0	0	0
12	0	0	3	0	0	0	0	0	2	0	0	0	3	0	0	1	0	0	0	0
13	0	0	13	0	0	2	0	0	6	0	0	0	3	0	0	2	0	0	0	0
14	1	0	3	0	0	3	0	0	8	0	0	0	11	0	0	8	0	3	0	0
15	0	0	1	0	0	2	1	0	10	0	0	0	1	0	0	6	0	0	0	0
16	0	2	6	0	0	5	0	0	2	0	0	0	1	0	0	6	0	0	0	0
17	0	0	10	0	1	4	0	0	1	0	0	0	2	0	0	7	0	0	0	0
18	0	0	2	0	0	6	0	0	1	0	0	0	3	0	0	6	0	0	0	0
19	0	2	3	0	2	4	0	0	2	0	0	0	5	0	0	1	0	0	0	0
20	0	0	1	0	0	6	0	0	3	0	0	0	12	0	0	9	0	0	0	0
