	JUL	AGO	SET	OUT	NOV	DEZ	JAN	FEV	MAR	ABR	MAIO	JUN
Aperviridis	0	2	16	19	21	9	12	7	13	33	33	8
Bahenea	254	273	290	253	204	71	137	241	238	140	193	200
Bgrcircumdata	0	6	0	1	0	1	0	2	0	0	0	2
Caffmantiqueira	0	0	0	0	0	0	62	344	5	1	0	0
Dmicrops	0	0	0	0	934	854	572	2739	267	250	54	0
Dminutus	113	141	142	143	53	100	176	168	136	178	90	41
Haffpolytaenius	371	736	524	234	440	505	418	586	685	441	171	236
Lfurnarius	0	0	0	0	30	2	1	1	0	0	0	0
Pbarrioi	0	0	0	1	324	254	254	101	41	4	0	0
Pmelanopogon	0	0	0	26	10	10	1	0	0	0	0	0
Polfersii	0	0	0	2	0	0	12	52	12	2	0	0
Ricterica	0	554	833	776	402	239	4	0	13	0	0	1008
Saffduartei	7	0	81	34	194	216	179	351	492	432	49	16
Shayii	0	0	0	0	2562	2318	351	852	348	440	147	9
Saffobtriangulatus	0	2	0	14	2	0	8	0	0	1	0	0
Ssqualirostris	0	0	0	0	0	0	18	25	5	2	0	0
