	temp	ph	turbid	condu	o2diss
Lago1	12	5.9	78	59	0.79
Lago2	21	6.7	100	90	0.91
Lago3	11	5.8	77	57	0.76
Lago4	11	6	49	45	0.72
Lago5	8	4.3	40	39	0.61
Lago6	10	5.9	53	49	0.68
Lago7	18	6.9	109	79	0.89
Lago8	17	6	99	59	0.79
Lago9	29	8	140	112	0.99
Lago10	20	7.6	112	99	0.92
Lago11	22	8	120	90	0.91
Lago12	22	8	120	89	0.9
Lago13	4	4.5	40	19	0.4
Lago14	17	6.2	89	59	0.77
Lago15	19	7	90	60	0.88
Lago16	20	7.5	92	62	0.81
Lago17	21	7.5	121	89	0.99
Lago18	21	8.4	133	101	0.89
Lago19	18	6	92	59	0.81
Lago20	7	4.4	39	30	0.55
Lago21	16	6.2	79	61	0.76
Lago22	2	4.3	39	30	0.51
Lago23	3	4.2	44	32	0.56
Lago24	9	5	55	44	0.6
Lago25	9	4.8	51	41	0.59
