	Sp1	Sp2	Sp3	Sp4	Sp5	Sp6	Sp7	Sp8	Sp9	Sp10	Sp11	Sp12	Sp13	Sp14	Sp15	Sp16	Sp17	Sp18	Sp19	Sp20	Sp21	Sp22	Sp23	Sp24	Sp25	Sp26	Sp27	Sp28	Sp29	Sp30	Sp31	Sp32	Sp33	Sp34	Sp35	Sp36	Sp37	Sp38	Sp39	Sp40	Sp41	Sp42	Sp43	Sp44
Lago1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	1	0	0	1	0	0	0	1	0	0	4	0	0	1	1	0	1	0	3	0	1	0	0	0	2	1
Lago2	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	2	1	0	0	1	0	1	0	1	0	0	4	4	1	1	1	0	0	0	3	1	1	11	1	0	0	0
Lago3	0	4	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	2	0	0	0	1	0	0	0	1	1	0	1	0	1	0	1	0	0	0	3	22	1	2	1	0	0	0
Lago4	0	0	0	0	0	0	3	0	1	0	0	0	0	0	1	0	0	2	0	0	0	1	0	1	0	0	2	0	1	0	1	1	1	0	0	0	0	0	0	5	1	0	0	0
Lago5	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	1	0	1	0	0	0	1	0	0	0	1	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	2
Lago6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	4	1	0	1	1	2	1	2	0	0	0	0	0	0	0	0
Lago7	0	0	0	4	0	0	0	0	3	12	0	0	2	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	4	1	0	1	1	0	0	1	0	0	0	0	0	0	0	0
Lago8	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	2	1	0	1	1	1	1	1	1	0	0	1	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0
Lago9	0	0	0	4	0	1	0	1	0	4	4	0	2	0	0	1	0	1	0	0	0	1	1	0	0	0	0	0	3	2	1	1	0	0	0	2	0	0	0	0	0	0	0	0
Lago10	0	0	0	0	2	0	0	0	11	0	0	0	0	0	0	0	0	1	1	0	0	2	1	1	1	0	1	0	1	1	2	1	1	1	0	0	0	0	1	0	0	0	0	0
Lago11	0	7	0	0	0	1	1	3	1	1	0	0	0	0	0	0	0	1	2	0	0	1	0	0	0	1	0	1	3	1	0	1	1	1	1	2	0	0	1	0	0	0	0	0
Lago12	5	7	0	0	0	0	1	2	12	0	1	1	0	0	1	0	0	1	1	0	0	1	0	0	0	0	1	1	4	0	0	1	1	0	1	0	0	0	1	0	0	0	0	0
Lago13	5	0	0	0	0	0	0	0	1	1	0	1	0	2	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Lago14	0	0	0	0	0	0	0	3	0	0	3	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	3	0	0	2	1	0	1	0	0	0	0	0	0	0	0	0
Lago15	0	0	0	2	0	1	1	2	1	3	0	0	0	0	0	0	1	1	1	1	0	1	0	0	0	0	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lago16	0	0	0	0	0	0	0	3	0	3	0	0	0	0	0	0	0	1	1	1	0	1	0	0	0	0	0	0	3	0	1	2	0	0	1	1	0	0	0	0	0	0	0	0
Lago17	0	0	0	12	0	0	0	8	0	2	0	0	0	0	0	0	0	1	1	0	0	1	0	1	0	1	0	0	3	2	0	1	0	0	1	0	0	0	0	0	0	0	0	0
Lago18	0	0	0	0	0	1	0	8	2	0	3	0	0	0	0	0	1	0	2	0	0	0	0	0	0	1	0	0	3	2	0	2	0	0	1	1	0	0	0	0	0	0	0	0
Lago19	0	1	0	0	0	1	0	7	2	2	0	0	0	0	0	1	0	0	1	1	0	1	0	0	0	0	0	0	3	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0
Lago20	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	2	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0
Lago21	0	0	1	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	1	1	3	0	0	3	0	0	0	0	0	0	0	0	2
Lago22	0	0	0	11	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	1	0	0	0	0	0	0	0	5	0	1	2	0
Lago23	0	0	0	1	0	0	0	3	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	5	0	1	1	0
Lago24	0	0	0	1	0	2	0	3	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	3	0	0	1	0	0	0	0	0	0	5	5	0	13	1	0
Lago25	0	0	0	1	0	2	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	1	0	0	1	0	11	2	3	0	0	0	0	0
