	Sp1	Sp2	Sp3	Sp4	Sp5	Sp6	Sp7	Sp8	Sp9	Sp10	Sp11	Sp12	Sp13	Sp14	Sp15	Sp16	Sp17	Sp18	Sp19	Sp20	Sp21	Sp22	Sp23	Sp24	Sp25	Sp26	Sp27	Sp28	Sp29	Sp30	Sp31	Sp32	Sp33	Sp34	Sp35	Sp36
Lago1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	1	0	0	1	0	0	0	1	0	0	4	0	0	1	1	0	1	0
Lago2	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	2	1	0	0	1	0	1	0	1	0	0	4	4	1	1	1	0	0	0
Lago3	0	2	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	2	0	0	0	1	0	0	0	1	1	0	1	0	1	0	1	0	0	0
Lago4	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	2	0	0	0	1	0	1	0	0	2	0	1	0	1	1	1	0	0	0
Lago5	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	1	0	1	0	0	0	1	0	0	0	1	1	0	1	1	1	0	0	0	0	0
Lago6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	4	1	0	1	1	2	1	2
Lago7	0	0	0	4	0	0	0	0	1	1	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	4	1	0	1	1	0	0	1
Lago8	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	2	1	0	1	1	1	1	1	1	0	0	1	0	1	0	0	0	1	1
Lago9	0	0	0	1	0	1	0	1	0	4	4	0	1	0	0	1	0	1	0	0	0	1	1	0	0	0	0	0	3	2	1	1	0	0	0	2
Lago10	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	2	1	1	1	0	1	0	1	1	2	1	1	1	0	0
Lago11	0	1	0	0	0	1	1	3	0	1	0	0	0	0	0	0	0	1	2	0	0	1	0	0	0	1	0	1	3	1	0	1	1	1	1	2
Lago12	1	0	0	0	0	0	1	2	1	0	1	1	0	0	1	0	0	1	1	0	0	1	0	0	0	0	1	1	4	0	0	1	1	0	1	0
Lago13	0	0	0	0	0	0	0	0	1	1	0	1	0	1	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Lago14	0	0	0	0	0	0	0	3	0	0	3	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	3	0	0	2	1	0	1	0
Lago15	0	0	0	2	0	1	1	2	1	1	0	0	0	0	0	0	1	1	1	1	0	1	0	0	0	0	0	0	3	1	0	0	0	0	0	0
Lago16	0	0	0	0	0	0	0	3	0	1	0	0	0	0	0	0	0	1	1	1	0	1	0	0	0	0	0	0	3	0	1	2	0	0	1	1
Lago17	0	0	0	3	0	0	0	3	0	2	0	0	0	0	0	0	0	1	1	0	0	1	0	1	0	1	0	0	3	2	0	1	0	0	1	0
Lago18	0	0	0	0	0	1	0	3	0	0	3	0	0	0	0	0	1	0	2	0	0	0	0	0	0	1	0	0	3	2	0	2	0	0	1	1
Lago19	0	1	0	0	0	1	0	3	1	1	0	0	0	0	0	1	0	0	1	1	0	1	0	0	0	0	0	0	3	0	0	1	0	0	1	0
Lago20	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	2	1	0	1	0	0	1	0
Lago21	0	0	1	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	1	1	3	0	0	3	0
Lago22	0	0	0	3	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	1	0	0	0	0
Lago23	0	0	0	3	0	0	0	3	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0
Lago24	0	0	0	1	0	1	0	3	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	3	0	0	1	0	0	0	0
Lago25	0	0	0	3	0	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	1	0	0	1	0
