	ESP	TAM	FRU	OMN	INS	NRG	NSP	SSH	SSM	SSL	FLO	CAM	FSE	BOR	AGR	SUP	M_S	MED	I_M	INF	T_I	TER
RA1	1	1	1	0	0	0.120689655	0.098039216	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0
RA2	2	0.884615385	1	0	0	0.017241379	0.019607843	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0
RA3	3	0.692307692	1	0	0	0.517241379	0.529411765	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0
RA4	4	0.5	1	0	0	0.344827586	0.31372549	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0
RA5	10	0.038461538	1	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0
RA6	11	0.115384615	1	0	0	1	1	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0
RA7	12	0.192307692	1	0	0	0.396551724	0.392156863	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0
RA8	13	0.115384615	1	0	0	0.017241379	0.019607843	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0
RA9	18	0.5	1	0	0	0.224137931	0.254901961	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0
PI1	3	0.25	1	0	0	0.0625	0.1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0
PI2	9	0.625	0	0	1	0.041666667	0.066666667	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0
PI3	12	0.25	1	0	0	0.145833333	0.233333333	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0
PI4	15	0.25	1	0	0	0.1875	0.3	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0
PI5	21	0.375	0	1	0	0.75	0.8	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0
PI6	23	0.875	0	1	0	0.25	0.4	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0
PI7	24	0.625	0	1	0	0.020833333	0.033333333	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0
PI8	25	1	0	1	0	1	1	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0
PI9	31	0.375	0	1	0	0.458333333	0.733333333	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0
PI10	33	0.75	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0
PI11	34	0.75	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0
PI12	36	0.125	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0
PI13	37	0.375	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0
TY1	2	0.171428571	0	1	0	0.27027027	0.338983051	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0
TY2	4	0.171428571	0	1	0	0.094594595	0.084745763	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0
TY3	5	0.171428571	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0
TY4	29	0.028571429	0	0	1	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0
TY5	46	0.142857143	0	0	1	0.027027027	0.033898305	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0
TY6	48	0.114285714	0	0	1	0.013513514	0.016949153	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0
TY7	53	0.085714286	0	0	1	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0
TY8	55	0.142857143	0	0	1	0.027027027	0.033898305	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0
TY9	56	0.257142857	0	1	0	0.554054054	0.644067797	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0
TY10	57	0.314285714	0	1	0	0.148648649	0.186440678	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0
TY11	60	0.171428571	0	1	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0
TY12	61	0.2	0	1	0	0.243243243	0.220338983	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0
TY13	63	0.2	0	1	0	0.121621622	0.152542373	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0
TY14	64	0.114285714	0	1	0	0.135135135	0.169491525	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0
TY15	66	0.314285714	0	1	0	0.108108108	0.13559322	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0
TY16	76	0.114285714	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0
TY17	94	0.142857143	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0
TY18	103	0.114285714	0	0	0	0.027027027	0.033898305	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0
TY19	115	0.2	0	0	1	0.054054054	0.06779661	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0
TY20	127	0.171428571	0	0	1	0.013513514	0.016949153	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0
TY21	130	0.057142857	0	0	1	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0
TY22	134	0.2	0	0	1	0.013513514	0.016949153	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0
TY23	135	0.228571429	0	0	1	0.027027027	0.033898305	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0
TY24	137	0.485714286	0	0	1	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0
TY25	148	0.2	0	0	0	0.013513514	0.016949153	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0
TY26	157	0.228571429	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0
TY27	166	0.428571429	0	0	0	0.013513514	0.016949153	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0
TY28	173	0.514285714	0	0	1	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0
TY29	174	0.342857143	0	0	1	0.013513514	0.016949153	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1
TY30	175	0.228571429	0	1	0	0.094594595	0.118644068	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0
TY31	176	0.314285714	0	1	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0
TY32	177	0.314285714	0	1	0	0.567567568	0.644067797	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0
TY33	178	0.314285714	0	1	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0
TY34	179	0.2	0	1	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0
TY35	180	0.428571429	0	1	0	1	1	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0
TY36	184	0.314285714	0	1	0	0.148648649	0.186440678	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0
TY37	185	0.4	0	1	0	0.648648649	0.576271186	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0
TY38	186	0.457142857	0	1	0	0.527027027	0.593220339	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0
TY39	188	0.342857143	0	1	0	0.243243243	0.254237288	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0
TY40	191	0.428571429	0	1	0	0.756756757	0.762711864	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0
TY41	192	0.8	0	0	1	0.054054054	0.050847458	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0
TY42	193	0.342857143	0	1	0	0.22972973	0.271186441	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0
TY43	197	0.342857143	0	0	1	0.013513514	0.016949153	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0
TY44	198	0.314285714	0	0	0	0.027027027	0.033898305	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0
TY45	200	0.228571429	0	0	1	0.135135135	0.169491525	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0
TY46	201	0.314285714	0	1	0	0.027027027	0.033898305	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0
TY47	202	0.342857143	0	1	0	0.054054054	0.050847458	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0
