	dtri	quag	tiso	dens.tc	localidade	arfl	esfl
1	39.18	350.15	lato1	Few	alt0	2	6
2	54.99	434.81	litter	Few	alt0	3	6
3	46.07	371.72	intermed	Few	alt0	5	6
4	48.19	360.5	lato1	Few	alt0	5	5
5	23.55	204.13	lato1	Few	alt0	6	5
6	57.32	311.55	lato1	Few	alt0	6	5
7	36.95	378.93	lato1	Few	alt0	5	4
8	80.59	266.78	intermed	Many	alt1000	6	5
9	61.43	310.7	litter	Many	alt1000	6	9
10	32.14	220.73	lato1	Many	alt0	3	4
11	35.59	134.13	lato3	Many	alt1000	2	5
12	46.8	405.91	lato1	Few	alt0	1	5
13	27.97	243.7	lato1	Many	alt0	2	6
14	37.25	239.51	intermed	Many	alt1000	3	5
15	59.93	350.64	intermed	Many	alt1000	9	6
16	35.41	321.87	intermed	Few	alt0	6	9
17	29.56	296.95	intermed	Many	alt0	2	1
18	25.84	276.44	lato1	Many	alt0	3	6
19	44.1	383.83	intermed	Many	alt1000	6	1
20	38.61	145.68	intermed	Many	alt0	5	10
21	25.93	184.04	lato4	Few	alt0	6	2
22	32.74	185.89	lato1	Many	alt0	6	5
23	31.98	398.73	lato2	Many	alt0	5	3
24	32.27	291.59	intermed	Many	alt0	6	6
25	35.3	293.49	intermed	Many	alt1000	3	5
26	51.47	488.55	lato4	Many	alt0	2	6
27	22.9	145.28	lato1	Many	alt0	5	9
28	35.81	354.56	lato2	Few	alt0	9	8
29	32.86	323.12	intermed	Many	alt0	10	9
30	38.17	403.32	lato2	Many	alt1000	5	9
31	43.9	494.24	intermed	Few	alt0	6	8
32	37.33	284.27	intermed	Many	alt1000	9	9
33	36.44	387.3	lato2	Few	alt1000	6	8
34	53.17	367.11	intermed	Many	alt1000	8	9
35	29.14	287.27	lato1	Few	alt1000	5	8
36	39.61	418.01	lato1	Many	alt1000	2	9
37	34.76	393.62	intermed	Few	alt1000	3	8
38	47.74	528.44	intermed	Few	alt1000	3	9
39	64.75	691.79	lato2	Few	alt1000	6	8
40	34.26	398.2	intermed	Few	alt1000	6	7
41	36.31	468.15	lato2	Few	alt1000	5	8
42	26.6	386.37	intermed	Few	alt1000	5	5
43	56.65	581	intermed	Few	alt1000	1	8
44	62.38	708.16	barro	Few	alt1000	2	9
45	46.81	538.51	intermed	Few	alt1000	2	5
46	44.01	451.45	lato1	Few	alt1000	3	8
47	33.98	323.96	intermed	Few	alt1000	3	9
48	41.71	506.86	lato1	Few	alt1000	6	6
49	26.37	363.87	lato2	None	alt1000	5	5
50	28.29	434.28	intermed	None	alt1000	6	4
51	37.51	465.27	lato2	None	alt1000	5	5
52	28.86	588.28	lato1	None	alt1000	6	6
53	26.83	414.65	intermed	None	alt1000	5	5
54	45.59	530.51	lato2	None	alt1000	6	4
55	31.98	447.65	intermed	None	alt1000	8	5
56	41.38	532.88	intermed	None	alt1000	5	6
57	56.82	613.39	barro	None	alt1000	6	5
58	27.24	353.39	lato1	None	alt1000	5	4
59	52.73	656.35	lato1	None	alt1000	8	5
60	31.37	465.8	lato2	None	alt1000	6	6
61	47.03	626.36	intermed	None	alt1000	8	3
62	48.59	634.75	intermed	None	alt1000	6	4
63	35.03	482.27	intermed	None	alt1000	9	5
64	28.07	434.96	lato1	None	alt1000	6	6
65	21.17	479.39	lato1	Many	alt0	7	5
66	31.46	514.85	lato1	None	alt1000	7	4
67	52.12	826.96	lato1	None	alt1000	8	4
68	29.24	590.11	lato1	None	alt1000	9	5
69	29.33	479.23	lato1	Many	alt0	9	6
70	22.36	517.36	lato1	Many	alt0	8	2
