     Angle, Det1Disc1,
         5,       126,
      5.05,        92,
       5.1,       104,
      5.15,        97,
       5.2,        94,
      5.25,       110,
       5.3,       106,
      5.35,        96,
       5.4,        94,
      5.45,        98,
       5.5,       103,
      5.55,       103,
       5.6,       106,
      5.65,        97,
       5.7,       100,
      5.75,        85,
       5.8,        88,
      5.85,        89,
       5.9,        89,
      5.95,       112,
         6,        84,
      6.05,        85,
       6.1,        98,
      6.15,        92,
       6.2,        87,
      6.25,       104,
       6.3,        84,
      6.35,        92,
       6.4,        73,
      6.45,       108,
       6.5,        99,
      6.55,        89,
       6.6,       103,
      6.65,        95,
       6.7,        97,
      6.75,       104,
       6.8,        98,
      6.85,        93,
       6.9,        83,
      6.95,        93,
         7,        91,
      7.05,        85,
       7.1,        91,
      7.15,       101,
       7.2,        95,
      7.25,        92,
       7.3,       100,
      7.35,        84,
       7.4,       110,
      7.45,        91,
       7.5,        95,
      7.55,       103,
       7.6,        84,
      7.65,        87,
       7.7,        92,
      7.75,        98,
       7.8,        83,
      7.85,        93,
       7.9,       101,
      7.95,        84,
         8,       101,
      8.05,        77,
       8.1,        99,
      8.15,        93,
       8.2,        92,
      8.25,        96,
       8.3,        91,
      8.35,        92,
       8.4,        99,
      8.45,       107,
       8.5,        95,
      8.55,        91,
       8.6,        90,
      8.65,        87,
       8.7,        75,
      8.75,        92,
       8.8,        94,
      8.85,        88,
       8.9,        76,
      8.95,        97,
         9,        83,
      9.05,        85,
       9.1,       101,
      9.15,        99,
       9.2,        87,
      9.25,        89,
       9.3,        97,
      9.35,        92,
       9.4,        78,
      9.45,        99,
       9.5,        87,
      9.55,        73,
       9.6,       105,
      9.65,        88,
       9.7,       106,
      9.75,        93,
       9.8,        74,
      9.85,       103,
       9.9,        90,
      9.95,        81,
        10,        96,
     10.05,       106,
      10.1,        96,
     10.15,        90,
      10.2,        93,
     10.25,        83,
      10.3,        89,
     10.35,        99,
      10.4,        90,
     10.45,       100,
      10.5,        85,
     10.55,        85,
      10.6,       110,
     10.65,       104,
      10.7,       103,
     10.75,       116,
      10.8,       110,
     10.85,       104,
      10.9,       100,
     10.95,        91,
        11,       102,
     11.05,        98,
      11.1,       105,
     11.15,       105,
      11.2,        98,
     11.25,       106,
      11.3,       120,
     11.35,        97,
      11.4,       107,
     11.45,       116,
      11.5,       116,
     11.55,       101,
      11.6,       113,
     11.65,       129,
      11.7,       129,
     11.75,       128,
      11.8,       106,
     11.85,       114,
      11.9,       123,
     11.95,       117,
        12,        97,
     12.05,       130,
      12.1,       140,
     12.15,       127,
      12.2,       138,
     12.25,       129,
      12.3,       131,
     12.35,       130,
      12.4,       129,
     12.45,       133,
      12.5,       123,
     12.55,       137,
      12.6,       136,
     12.65,       132,
      12.7,       141,
     12.75,       149,
      12.8,       133,
     12.85,       131,
      12.9,       161,
     12.95,       118,
        13,       128,
     13.05,       141,
      13.1,       138,
     13.15,       135,
      13.2,       147,
     13.25,       142,
      13.3,       146,
     13.35,       125,
      13.4,       147,
     13.45,       146,
      13.5,       128,
     13.55,       124,
      13.6,       129,
     13.65,       124,
      13.7,       111,
     13.75,       149,
      13.8,       135,
     13.85,       145,
      13.9,       127,
     13.95,       137,
        14,       132,
     14.05,       128,
      14.1,       124,
     14.15,       121,
      14.2,       118,
     14.25,       122,
      14.3,       122,
     14.35,       138,
      14.4,       147,
     14.45,       114,
      14.5,       115,
     14.55,       125,
      14.6,       116,
     14.65,       131,
      14.7,       132,
     14.75,       122,
      14.8,       100,
     14.85,       107,
      14.9,       104,
     14.95,       130,
        15,       133,
     15.05,       108,
      15.1,       112,
     15.15,       117,
      15.2,       103,
     15.25,       120,
      15.3,       105,
     15.35,       116,
      15.4,       106,
     15.45,       106,
      15.5,        98,
     15.55,        99,
      15.6,       124,
     15.65,       111,
      15.7,       111,
     15.75,        92,
      15.8,        96,
     15.85,        92,
      15.9,       112,
     15.95,       118,
        16,       109,
     16.05,        92,
      16.1,        96,
     16.15,        87,
      16.2,       108,
     16.25,        99,
      16.3,       127,
     16.35,        92,
      16.4,        96,
     16.45,        82,
      16.5,        97,
     16.55,        82,
      16.6,        92,
     16.65,        96,
      16.7,        92,
     16.75,       107,
      16.8,        71,
     16.85,        88,
      16.9,        92,
     16.95,        85,
        17,        83,
     17.05,        97,
      17.1,        75,
     17.15,        85,
      17.2,        77,
     17.25,        80,
      17.3,        82,
     17.35,        97,
      17.4,        72,
     17.45,        86,
      17.5,        70,
     17.55,        81,
      17.6,        75,
     17.65,        82,
      17.7,        72,
     17.75,        91,
      17.8,        81,
     17.85,        76,
      17.9,        84,
     17.95,        85,
        18,        59,
     18.05,        73,
      18.1,        80,
     18.15,        72,
      18.2,        57,
     18.25,        74,
      18.3,        80,
     18.35,        64,
      18.4,        71,
     18.45,        76,
      18.5,        66,
     18.55,        62,
      18.6,        72,
     18.65,        69,
      18.7,        72,
     18.75,        65,
      18.8,        72,
     18.85,        65,
      18.9,        62,
     18.95,        69,
        19,        68,
     19.05,        64,
      19.1,        57,
     19.15,        67,
      19.2,        44,
     19.25,        59,
      19.3,        63,
     19.35,        58,
      19.4,        73,
     19.45,        60,
      19.5,        60,
     19.55,        62,
      19.6,        64,
     19.65,        57,
      19.7,        63,
     19.75,        46,
      19.8,        59,
     19.85,        50,
      19.9,        49,
     19.95,        56,
        20,        43,
     20.05,        68,
      20.1,        60,
     20.15,        53,
      20.2,        31,
     20.25,        47,
      20.3,        51,
     20.35,        50,
      20.4,        48,
     20.45,        48,
      20.5,        37,
     20.55,        47,
      20.6,        40,
     20.65,        37,
      20.7,        46,
     20.75,        49,
      20.8,        53,
     20.85,        43,
      20.9,        52,
     20.95,        48,
        21,        53,
     21.05,        50,
      21.1,        57,
     21.15,        42,
      21.2,        31,
     21.25,        39,
      21.3,        37,
     21.35,        48,
      21.4,        52,
     21.45,        41,
      21.5,        43,
     21.55,        47,
      21.6,        47,
     21.65,        42,
      21.7,        46,
     21.75,        31,
      21.8,        41,
     21.85,        36,
      21.9,        46,
     21.95,        39,
        22,        49,
     22.05,        42,
      22.1,        41,
     22.15,        41,
      22.2,        38,
     22.25,        37,
      22.3,        42,
     22.35,        42,
      22.4,        39,
     22.45,        46,
