individuo,ramos,area_m2,treatment
10,2,1.03,2_yr
11,2,1.20,2_yr
12,2,0.51,2_yr
13,2,0.48,2_yr
14,2,1.00,2_yr
15,2,0.54,2_yr
17,3,1.08,2_yr
18,2,0.84,2_yr
19,1,0.65,2_yr
21,2,0.47,2_yr
22,2,1.17,2_yr
23,1,0.34,2_yr
24,2,0.20,2_yr
25,2,0.77,2_yr
26,1,0.63,2_yr
27,1,0.56,2_yr
28,2,0.44,2_yr
29,3,1.25,2_yr
30,2,0.94,2_yr
31,3,0.97,2_yr
70,5,3.00,4_yr
71,2,1.12,4_yr
72,2,0.93,4_yr
73,1,0.76,4_yr
74,1,0.63,4_yr
75,6,2.71,4_yr
76,4,1.48,4_yr
77,3,1.30,4_yr
78,1,0.69,4_yr
79,2,0.52,4_yr
90,1,0.69,4_yr
91,3,1.29,4_yr
92,3,1.34,4_yr
93,4,1.03,4_yr
94,2,0.35,4_yr
95,3,1.31,4_yr
96,3,1.92,4_yr
97,3,1.21,4_yr
98,4,1.98,4_yr
99,3,2.23,4_yr
40,3,1.19,control
41,3,2.67,control
42,3,0.71,control
43,2,1.73,control
44,3,3.09,control
45,1,0.65,control
46,3,1.16,control
47,3,1.96,control
48,3,1.24,control
49,2,1.35,control
50,4,1.85,control
51,3,0.80,control
52,2,0.57,control
53,1,1.03,control
54,2,0.97,control
55,3,1.66,control
56,2,1.60,control
57,3,1.39,control
58,3,0.73,control
59,3,1.41,control
