LEAF,DISC,CACONC,,CACONC2,DISC2,LEAF2,PLANT2,,SIRE,DAM,WGAIN,,MALE,FEMALE,MELANIC,WATTLE,,TREATMNT,PLANT,DENSITY,,DURATION,NLOOKUPS,SEX,SHEEP,OBSPER
1,1,0.4567,,1.6647,1,1,1,,1,1,0.671,,1,1,1,0.598,,1,1,87,,39,3,1,1,1
1,2,0.6033,,2.0276,2,1,1,,1,1,0.875,,2,1,1,0.579,,1,1,106.1,,40,7,1,1,2
1,3,0.3918,,2.2036,1,2,1,,1,2,1.948,,3,1,1,0.513,,1,1,63.7,,39,3,1,1,3
1,4,0.3016,,2.2238,2,2,1,,1,2,1.668,,4,1,1,0.574,,1,1,60.1,,34,7,1,1,4
2,1,0.7291,,1.9945,1,3,1,,2,1,0.797,,5,1,1,0.455,,1,1,66.1,,31,6,1,1,5
2,2,0.6527,,1.9045,2,3,1,,2,1,0.954,,6,1,1,0.436,,1,1,37.9,,37,5,1,1,6
2,3,0.5165,,1.9579,1,1,2,,2,2,0.927,,1,2,1,0.62,,1,1,101.4,,38,3,1,1,7
2,4,0.5704,,1.7441,2,1,2,,2,2,1.098,,2,2,1,0.682,,1,1,12.3,,36,4,1,1,8
3,1,0.7727,,2.4959,1,2,2,,3,1,1.301,,3,2,1,0.596,,1,1,74.7,,36,2,1,1,9
3,2,0.6171,,2.557,2,2,2,,3,1,1.844,,4,2,1,0.739,,1,1,54.7,,37,5,1,1,10
3,3,0.733,,1.8732,1,3,2,,3,2,1.413,,5,2,1,0.573,,1,2,77.5,,37,3,1,1,11
3,4,0.8495,,1.9046,2,3,2,,3,2,1.426,,6,2,1,0.498,,1,2,79.4,,42,3,1,1,12
4,1,0.3526,,2.2992,1,1,3,,4,1,0.938,,1,3,1,0.517,,1,2,87.9,,40,6,1,1,13
4,2,0.4497,,2.6597,2,1,3,,4,1,0.49,,2,3,1,0.537,,1,2,105,,43,5,1,1,14
4,3,0.3459,,2.7374,1,2,3,,4,2,0.604,,3,3,1,0.427,,1,2,98.6,,38,6,1,1,15
4,4,0.5446,,2.9178,2,2,3,,4,2,1.478,,4,3,1,0.464,,1,2,85.5,,40,7,1,1,16
,,,,2.8447,1,3,3,,5,1,1.298,,5,3,1,0.507,,1,2,60.9,,35,6,1,1,17
,,,,2.4489,2,3,3,,5,1,0.855,,6,3,1,0.518,,1,2,57.1,,28,4,1,1,18
,,,,2.6918,1,1,4,,5,2,1.415,,1,1,2,0.596,,1,2,83.4,,36,4,1,1,19
,,,,2.7402,2,1,4,,5,2,1.262,,2,1,2,0.495,,1,2,117.3,,30,7,1,1,20
,,,,3.3845,1,2,4,,,,,,3,1,2,0.421,,1,3,84.5,,35,9,1,2,1
,,,,2.851,2,2,4,,,,,,4,1,2,0.579,,1,3,132.3,,50,10,1,2,2
,,,,2.2435,1,3,4,,,,,,5,1,2,0.462,,1,3,127.1,,46,9,1,2,3
,,,,2.7079,2,3,4,,,,,,6,1,2,0.465,,1,3,107.8,,41,10,1,2,4
,,,,,,,,,,,,,1,2,2,0.399,,1,3,118.2,,41,10,1,2,5
,,,,,,,,,,,,,2,2,2,0.586,,1,3,79.9,,35,7,1,2,6
,,,,,,,,,,,,,3,2,2,0.427,,1,3,142.9,,40,9,1,2,7
,,,,,,,,,,,,,4,2,2,0.671,,1,3,96.4,,46,10,1,2,8
,,,,,,,,,,,,,5,2,2,0.701,,1,3,107.2,,39,7,1,2,9
,,,,,,,,,,,,,6,2,2,0.583,,1,3,49.5,,35,9,1,2,10
,,,,,,,,,,,,,1,3,2,0.547,,2,4,94.3,,37,11,1,2,11
,,,,,,,,,,,,,2,3,2,0.479,,2,4,116,,42,8,1,2,12
